age-group,gender,Income,demography,area,vehicle-ownership,vehicles,ev-awareness,intrest-to-purchase,purchase-barriers,preferred-features,preferred-brand,ev-type-preference,budget,govt-incentive-awareness,environmental-impact,belief-in-reducing-pollution,family-friends-influence,purchase-plan,suggested-improvements,additional-suggestions,overall-survey-experience
18-24,Male,Am a student,Southern India,Urban Area (City),Yes,"Scooter, Bike",Aware,Intreseted,"Long charging time, Lack of awareness, Satisfied with current vehicle","Long battery range, Fast charging, Low maintenance cost, High top speed",Ola,EV Scooter,"Less than Rs.80,000",Yes,Somewhat important,May be,Neutral,WIthin 6 months,Better battery range,Nil,4
18-24,Male,Am a student,Southern India,Rural Area (Village),No,Bike,Somewhat aware,Somewhat intrested,Satisfied with current vehicle,"Long battery range, Low maintenance cost, Eco-friendliness",Hero Electric,EV Scooter,"Less than Rs.80,000",No,Very important,Yes,Somewhat Influential,Not plannning to purchase,More model options,Nil,5
25-34,Female,"Less than 3,00,000",Northeastern India,Suburban Area (Town),No,Car,Somewhat aware,Neutral,High Initial Cost,"Long battery range, Fast charging, Advanced saftey features, Stylish Design, Low maintenance cost, Affordable price, Eco-friendliness",Bajaj,EV Bike,"Less than Rs.80,000",No,Very important,Yes,Neutral,Within 2 years,"Lower Prices, Better battery range, Faster charging, More charging ststions, Better perfomance, More model options, Better after-sales service",,5
18-24,Male,"Less than 3,00,000",Southern India,Urban Area (City),No,Scooter,Aware,Not intrested,"High Initial Cost, Lack of charging stations, Long charging time","Long battery range, Fast charging, Affordable price",Ather,EV Scooter,"Less than Rs.80,000",No,Somewhat important,No,Very Influential,Not plannning to purchase,"Better battery range, Faster charging, More charging ststions",No,3
45-55,Male,"6,00,000 - 10,00,000",Southern India,Urban Area (City),Yes,Car,Aware,Intreseted,"High Initial Cost, Limited driving range, Lack of charging stations, Long charging time","Long battery range, Advanced saftey features, Affordable price, Eco-friendliness",TVS,EV Scooter,"Rs.80,000 - Rs.1,00,000",No,Very important,May be,Somewhat Influential,Within 2 years,"Better battery range, More charging ststions",No,5
35-44,Female,"3,00,000 - 6,00,000",Southern India,Urban Area (City),Yes,Scooter,Aware,Intreseted,"Limited driving range, Lack of charging stations","Long battery range, Advanced saftey features, Low maintenance cost",Ather,EV Scooter,"Less than Rs.80,000",No,Very important,Yes,Very Influential,Within 1 year,"Better battery range, Faster charging",No,5
35-44,Male,"10,00,000  - 15,00,000",Southern India,Urban Area (City),Yes,"Bike, Car",Aware,Intreseted,"High Initial Cost, Limited driving range, Lack of charging stations","Long battery range, Advanced saftey features, Affordable price",Ola,EV Scooter,"Rs.1,00,000 - Rs.1,25,000",Yes,Very important,May be,Somewhat Influential,Within 2 years,"Better battery range, More charging ststions, Better perfomance", Nil,4
18-24,Female,"Less than 3,00,000",Southern India,Suburban Area (Town),Yes,"Scooter, Bike",Aware,Neutral,"High Initial Cost, Limited driving range, Lack of charging stations, Long charging time, Limited Model Options","Long battery range, Fast charging, Advanced saftey features, Stylish Design, Low maintenance cost, Affordable price, High top speed, Eco-friendliness",Ather,EV Scooter,"Rs.80,000 - Rs.1,00,000",No,Very important,May be,Neutral,Within 1 year,"Better battery range, Faster charging, More charging ststions, Better perfomance",Nothing ,5
25-34,Male,"3,00,000 - 6,00,000",Southern India,Urban Area (City),Yes,Scooter,Aware,Neutral,"Limited driving range, Lack of charging stations, Long charging time","Long battery range, Fast charging, Affordable price",Ather,EV Scooter,"Rs.80,000 - Rs.1,00,000",No,Very important,May be,Somewhat Influential,Not plannning to purchase,"Better battery range, Faster charging, More charging ststions",No additional comment,5
18-24,Female,"Less than 3,00,000",Northern India,Urban Area (City),No,Scooter,Aware,Neutral,"High Initial Cost, Long charging time, Satisfied with current vehicle","Fast charging, Low maintenance cost, Eco-friendliness",Ola,I don't prefer an EV,"Less than Rs.80,000",No,Very important,Yes,Neutral,Not plannning to purchase,"Better battery range, More charging ststions, More model options",Nothing ,5
